FORMATTED DATE-TIME           DT   MG   TR     WS     CW     HW     TP     WC     RH     HI     DP     WB      BP      AL       DA
YYYY-MM-DD HH:MM:SS            s  Mag True    mph    mph    mph     °C     °C      %     °C     °C     °C      mb       m        m
----------------------------------------------------------------------------------------------------------------------------------
2010-09-04 11:34:30    336915270  ***  ***    0.0    0.0    0.0   24.8   24.8   76.0   25.8   20.3   21.6 1008.70      35      486
2010-09-04 11:35:00    336915300  ***  ***    0.0    0.0    0.0   24.7   24.7   76.2   25.7   20.3   21.6 1009.00      33      479
2010-09-04 11:35:30    336915330  ***  ***    0.0    0.0    0.0   23.0   23.0   78.5   23.8   19.1   20.3 1008.90      34      414
2010-09-04 11:36:00    336915360  ***  ***    0.0    0.0    0.0   22.7   22.7   82.6   23.7   19.6   20.6 1008.90      34      405
2010-09-04 11:36:30    336915390  ***  ***    0.0    0.0    0.0   23.0   23.0   85.1   24.2   20.3   21.1 1008.90      34      420
2010-09-04 11:37:00    336915420  ***  ***    0.0    0.0    0.0   22.6   22.6   86.0   23.7   20.1   20.8 1008.90      34      406
2010-09-04 11:37:30    336915450  ***  ***    0.0    0.0    0.0   22.5   22.5   87.0   23.6   20.2   20.9 1009.00      33      401
2010-09-04 11:38:00    336915480  ***  ***    0.0    0.0    0.0   22.5   22.5   87.7   23.7   20.3   21.0 1009.00      33      402
2010-09-04 11:38:30    336915510  ***  ***    0.0    0.0    0.0   22.6   22.6   88.5   23.8   20.6   21.2 1009.00      33      407
2010-09-04 11:39:00    336915540  ***  ***    0.0    0.0    0.0   22.6   22.6   88.0   23.8   20.5   21.1 1009.00      33      406
2010-09-04 11:39:30    336915570  ***  ***    0.0    0.0    0.0   22.6   22.6   88.0   23.8   20.5   21.1 1009.00      33      405
2010-09-04 11:40:00    336915600  ***  ***    2.4    2.4    2.4   22.8   22.8   87.5   24.1   20.6   21.3 1009.00      33      412
2010-09-04 11:40:30    336915630  ***  ***    0.9    0.9    0.9   22.7   22.7   87.7   23.9   20.5   21.2 1008.90      34      411
2010-09-04 11:41:00    336915660  ***  ***    0.0    0.0    0.0   22.7   22.7   87.9   23.9   20.6   21.2 1008.90      34      414
2010-09-04 11:41:30    336915690  ***  ***    1.2    1.2    1.2   22.7   22.7   87.7   23.9   20.6   21.2 1009.00      33      412
2010-09-04 11:42:00    336915720  ***  ***    1.0    1.0    1.0   22.9   22.9   87.3   24.2   20.7   21.4 1008.90      34      418
2010-09-04 11:42:30    336915750  ***  ***    1.2    1.2    1.2   22.8   22.8   87.1   24.0   20.6   21.3 1009.00      33      414
2010-09-04 11:43:00    336915780  ***  ***    0.0    0.0    0.0   23.1   23.1   87.0   24.4   20.8   21.5 1009.00      33      425
